date,open,high,low,close
20150302,627.61,628.03,621.75,621.81
20150303,625.53,626.24,624.29,625.64
20150304,627.27,631.32,627.09,630.35
20150305,633.07,633.58,629.41,631.43
20150306,634.52,635.87,632.50,635.84
20150309,636.83,636.83,628.83,629.26
20150310,632.54,633.52,617.89,621.99
20150311,617.52,623.24,616.43,619.61
20150312,622.55,628.29,621.47,628.15
20150313,631.74,634.97,631.50,634.25
20150316,636.47,636.69,633.86,635.40
20150317,638.92,639.00,634.55,636.05
20150318,638.41,639.70,628.94,628.99
20150319,633.56,633.64,620.52,631.81
20150320,633.69,640.09,632.57,640.08
20150323,643.55,644.01,640.29,640.29
20150324,640.50,642.43,638.46,641.87
20150325,644.69,651.06,644.69,651.05
20150326,647.17,649.62,640.56,642.53
20150327,645.93,646.43,637.71,640.12
20150330,643.40,646.78,641.47,646.74
20150331,650.75,650.75,647.38,650.49
20150401,650.27,651.40,645.63,650.23
