date,open,high,low,close,volume,shorting_volume_a,shorting_volume_b
20140901,5410,5420,5240,5380,186195,0,-12242
20140902,5350,5370,5200,5250,206307,0,-1731
20140903,5260,5300,5220,5260,81919,0,1618
20140904,5270,5520,5270,5480,466851,116756,-6344
20140905,5530,5820,5530,5810,1101204,29226,18268
20140911,5830,5940,5750,5850,353290,4600,6029
20140912,5800,6100,5780,5950,397682,2400,-16216
20140915,5900,6150,5850,6000,349381,35699,6746
20140916,6100,6870,6030,6590,1362767,45484,64289
20140917,6690,6790,6590,6750,452318,22931,-1940
20140918,6690,6820,6450,6630,735256,30707,31824
20140919,6680,6780,6550,6780,344183,23124,11201
20140922,6760,6790,6500,6500,388980,1473,12360
20140923,6530,6610,6410,6450,312954,1900,6110
20140924,6480,6690,6450,6590,267529,700,13978
20140925,6590,6660,6420,6600,212490,-882,-10831
20140926,6470,6500,6180,6230,716794,-12005,8717
20140929,6240,6320,6100,6110,267837,0,-3255
20140930,6210,6320,6160,6300,283738,-12300,-1023
20141001,6310,6310,5900,5980,334306,-4070,-2057
20141002,5920,6040,5780,5910,217116,0,13615
20141006,5910,6000,5740,5880,307126,3000,-2228
20141007,5970,6150,5760,6060,301978,0,32525
20141008,6060,6230,5990,6120,250990,-1210,15951
20141010,6110,6110,5850,5870,171268,0,511
20141013,5790,5790,5400,5500,320811,0,-3873
20141014,5440,5690,5440,5580,132255,0,10613
20141015,5700,5750,5550,5640,176405,35000,1111
20141016,5630,5630,5400,5540,176793,-3257,-7456
20141017,5580,5630,5290,5390,185729,-3400,-10730
20141020,5440,5600,5400,5600,132652,0,6637
20141021,5610,5770,5600,5680,176226,4400,-9650
20141022,5730,5780,5600,5750,127462,0,8493
20141023,5720,5740,5600,5640,79032,0,-8198
20141024,5640,5720,5410,5550,127157,0,-3155
20141027,5500,5630,5500,5520,72290,0,-2035
20141028,5480,5720,5450,5720,74154,0,-636
20141029,5680,5700,5460,5560,138655,0,-9587
20141030,5560,5620,5450,5600,86810,0,-853
20141031,5620,5620,5500,5590,47059,0,-2089
20141103,5530,5620,5470,5530,102979,0,-4157
20141104,5570,5590,5220,5300,179292,0,-726
20141105,5300,5390,5210,5300,58335,-1500,-1622
20141106,5280,5340,5100,5100,102722,-16500,-1889
20141107,5100,5330,5100,5250,54798,0,-45
20141110,5230,5400,5210,5300,46612,0,-7876
20141111,5340,5840,5290,5700,296346,-563,-18346
20141112,5650,5970,5650,5740,144436,0,1036
20141113,5740,5880,5730,5880,58252,0,1970
20141114,5880,6020,5750,5940,138402,-10771,-825
20141117,5950,5950,5710,5720,83049,-810,-5500
20141118,5680,5890,5650,5790,51593,-9800,2397
20141119,5790,5790,5620,5660,77785,-15000,1126
20141120,5660,5730,5530,5650,80984,0,3923
20141121,5650,5820,5560,5670,86178,-10000,-2960
20141124,5800,5800,5600,5680,31687,0,181
20141125,5660,5710,5530,5660,85818,-20000,-2602
20141126,5650,5750,5570,5740,73333,-9224,-771
20141127,5790,5790,5660,5680,39919,-135,-19
20141128,5690,5730,5620,5630,57962,0,-69
20141201,5650,5650,5500,5510,29577,0,95
20141202,5560,5560,5460,5540,41261,0,6933
20141203,5540,5810,5500,5740,87340,0,5927
20141204,5820,5970,5750,5950,95519,0,-61
20141205,5950,6030,5850,5960,86300,-2419,-943
20141208,6000,6000,5860,5950,80117,-1360,2666
20141209,5990,6080,5900,6040,100677,-1155,1335
20141210,6040,6040,5880,5990,42513,-530,802
20141211,5940,6080,5820,6080,88455,-1024,-589
20141212,6060,6060,5930,5990,71517,-460,-5057
20141215,5900,5930,5790,5800,64192,0,-3792
20141216,5740,5750,5610,5610,118964,0,2085
20141217,5600,5750,5560,5750,37705,0,-7293
20141218,5700,5730,5530,5710,55768,0,-15021
20141219,5680,5830,5620,5760,55363,0,-4994
20141222,5770,5770,5660,5660,34811,-1530,-3864
20141223,5640,5740,5630,5690,38307,0,-2562
20141224,5690,5710,5570,5700,79086,0,1876
20141226,5700,5740,5660,5690,18452,0,625
20141229,5640,5740,5570,5580,39093,0,1329
20141230,5580,5650,5550,5610,25058,0,172
20150102,5620,5770,5550,5730,32422,0,1857
20150105,5740,5740,5630,5670,62937,-8170,-67
20150106,5700,5720,5540,5600,59084,-3047,-497
20150107,5600,5620,5490,5540,68647,-10002,-1527
20150108,5570,5730,5560,5700,37061,0,4558
20150109,5770,5910,5680,5900,81850,0,1977
20150112,5930,5930,5810,5870,44896,-6600,1567
20150113,5880,5880,5800,5830,53648,-3189,-606
20150114,5780,5920,5780,5840,61685,-3811,2870
20150115,5870,6320,5800,6300,404027,0,6774
20150116,6240,6280,6110,6150,116488,-9103,2837
20150119,6260,6270,6100,6160,86514,-11000,-186
20150120,6150,6290,6080,6190,147207,-23635,1683
20150121,6200,6310,6080,6120,64581,-8000,2326
20150122,6140,6220,5910,6020,183794,-23678,9254
20150123,6030,6080,5940,5980,77514,-10000,8100
20150126,6010,6160,5950,6120,102900,-10000,3749
20150127,6120,6200,6110,6150,50625,0,-1028
20150128,6140,6220,6050,6190,78245,0,1411
20150129,6220,6230,6100,6160,37215,-1812,-1632
20150130,6140,6200,5980,6120,124998,0,8950
20150202,6090,6160,6020,6070,46442,0,-521
20150203,6080,6140,5970,5990,52835,0,-7446
20150204,6000,6220,5910,6220,171929,0,11386
20150205,6240,6400,6150,6400,102633,0,2433
20150206,6430,6500,6320,6420,87708,0,1802
20150209,6420,6680,6350,6500,291909,2278,-120
20150210,6510,6530,6000,6090,302705,1481,-6871
20150211,6110,6310,6080,6230,141812,2518,5861
20150212,6300,6410,6180,6340,112981,2555,4334
20150213,6410,6740,6390,6620,414280,27381,10652
20150216,6610,6730,6400,6560,122246,0,-2182
20150217,6560,6640,6450,6640,72397,5972,1344
20150223,6770,6950,6700,6870,287634,0,-7722
20150224,6860,6900,6750,6840,93779,0,4232
20150225,6860,6860,6680,6760,127899,0,-633
20150226,6690,6810,6590,6780,101743,-31,5071
20150227,6790,6900,6730,6890,109855,0,3587
20150302,6890,6890,6590,6660,169583,0,-3339
20150303,6660,6840,6640,6760,107218,0,5473
20150304,6860,6960,6770,6910,134937,0,2715
20150305,6920,6930,6700,6790,87025,-859,-6913
20150306,6790,6810,6580,6640,54585,0,-898
20150309,6600,6600,6390,6450,109012,2500,3228
20150310,6450,6530,6380,6500,48540,0,-1658
20150311,6490,6620,6400,6620,28893,0,284
20150312,6650,6650,6220,6330,171732,0,5152
20150313,6430,6430,6130,6140,240949,0,8360
20150316,6140,6210,6060,6200,138674,0,8301
20150317,6210,6340,6100,6340,162115,-319,808
20150318,6340,6370,6150,6150,154939,0,3182
20150319,6150,6220,6040,6200,139298,0,-1693
20150320,6150,6230,6120,6190,45724,0,-7
20150323,6190,6300,6140,6200,89752,-4710,1625
20150324,6200,6430,6150,6350,254281,-2000,666
20150325,6390,6490,6250,6390,119797,0,-702
20150326,6280,6390,6280,6380,79270,-34,-3635
20150327,6380,6410,6230,6250,94867,0,-3530
20150330,6260,6300,6100,6130,159162,-1906,1799
20150331,6130,6270,6130,6270,82613,-5220,3000
20150401,6260,6270,6150,6250,90672,0,-3605
20150402,6200,6300,6150,6250,46517,0,-3420
20150403,6260,6520,6230,6490,150377,-8904,4152
20150406,6490,6610,6410,6490,139847,-1540,-3103
20150407,6490,6670,6450,6610,117304,-907,187
20150408,6570,6650,6500,6550,61346,-544,-4694
20150409,6520,6590,6440,6490,57906,0,3534
20150410,6450,6610,6420,6550,69612,0,1711
20150413,6540,6610,6460,6580,84380,-375,-2113
20150414,6580,6850,6550,6670,165487,0,-7183
20150415,6640,6720,6600,6620,57418,-1484,-1274
20150416,6660,6660,6490,6590,53453,-593,-1092
20150417,6600,6620,6480,6520,80778,0,2955
20150420,6440,6720,6440,6640,135861,0,13060
20150421,6720,6810,6550,6710,145102,0,6585
20150422,6750,6770,6100,6430,177884,0,1608
20150423,6450,6550,6280,6360,87556,-148,-6856
20150424,6330,6600,6330,6500,69863,-148,4476
20150427,6500,6650,6420,6570,55598,-976,2876
20150428,6570,6630,6490,6510,46617,0,6375
20150429,6600,6680,6510,6610,77800,0,2193
20150430,6620,6620,6440,6540,54694,0,-3805
