date,open,high,low,close,volume,shorting_volume_a,shorting_volume_b
20140901,7290,7300,7100,7150,31414,-8230,-11084
20140902,7120,7280,7050,7100,33564,-13000,2038
20140903,7100,7150,7000,7150,74240,-14000,-12106
20140904,7150,7230,7100,7230,27329,0,141
20140905,7200,7300,7150,7290,24259,0,-619
20140911,7250,7500,7220,7490,76023,-13450,-10513
20140912,7510,7600,7400,7600,47493,0,-2890
20140915,7610,7730,7510,7690,65073,3020,1197
20140916,7610,7700,7500,7500,42612,-8509,1454
20140917,7560,7650,7440,7500,43716,-21440,-2531
20140918,7540,7860,7500,7800,100134,-3891,4254
20140919,7860,8080,7850,8000,232580,-48041,-19727
20140922,8020,8150,7960,8000,160798,-21977,5762
20140923,7990,8090,7930,8080,114176,-4811,-668
20140924,8120,8260,8060,8140,162134,-10484,4013
20140925,8100,8170,7960,7970,63899,-260,961
20140926,7940,8460,7930,8420,167547,13916,8636
20140929,8470,8530,8120,8120,159281,-48618,-6709
20140930,8140,8250,7800,8080,131276,78,9477
20141001,8080,8380,8020,8300,142794,16051,7810
20141002,8200,8450,8150,8330,115907,-15500,6739
20141006,8340,8660,8210,8430,118056,0,-2295
20141007,8440,8440,8140,8310,83161,-2000,4939
20141008,8290,8500,8250,8400,130406,-27849,6306
20141010,8390,8400,8090,8110,124789,-8000,4988
20141013,8000,8000,7510,7950,164999,2776,4872
20141014,7880,8170,7720,8170,75735,-5000,-608
20141015,8170,8170,7990,8100,43148,0,5470
20141016,7980,8290,7800,8150,89898,0,18521
20141017,8210,8290,8080,8140,45739,-8000,5180
20141020,8170,8200,7920,7970,114886,-30000,1703
20141021,8010,8150,7910,8130,76785,3354,27373
20141022,8230,8250,8100,8170,108002,-23000,11819
20141023,8150,8240,7880,8030,105608,-9000,7836
20141024,8080,8100,7850,7890,48736,0,3725
20141027,7920,7950,7740,7750,89465,-29000,-876
20141028,7750,7890,7630,7880,92603,-31521,20211
20141029,7900,7940,7760,7780,56447,-13000,6806
20141030,7800,7810,7550,7780,691431,-11954,8205
20141031,7720,8070,7710,8070,84708,-3000,12333
20141103,8070,8400,8000,8350,186323,6017,17603
20141104,8360,8460,8250,8260,149181,62832,-3213
20141105,8380,8680,8380,8510,266400,751,-2437
20141106,8590,8610,8470,8550,139579,23071,6591
20141107,8600,8660,8460,8540,135458,-28000,10469
20141110,8530,8540,8320,8440,110350,-15000,6650
20141111,8400,9040,8400,9040,415856,65072,9240
20141112,9100,9430,8790,8950,423038,17957,-6121
20141113,9060,9280,8840,9190,292677,-3099,5717
20141114,9190,9250,9010,9140,103294,-147,1715
20141117,9170,9170,8930,9000,92258,-5380,4653
20141118,8810,8810,7880,8650,945419,86088,4605
20141119,8700,8940,8600,8760,162985,10000,4987
20141120,8810,8920,8670,8700,75720,0,3037
20141121,8760,9030,8650,9000,114535,12375,9091
20141124,9080,9130,8790,8930,112029,-11910,-6267
20141125,8940,9090,8730,8850,81308,-8000,-477
20141126,8840,8910,8680,8810,73992,-1126,15151
20141127,8770,8820,8420,8520,71877,-262,1570
20141128,8530,8870,8510,8850,89364,-1200,4095
20141201,8830,8870,8640,8710,55921,0,-4415
20141202,8700,9150,8700,9000,90489,0,4602
20141203,9000,9040,8820,8950,79133,-10000,-3619
20141204,8950,9020,8660,8700,47002,-8000,-3640
20141205,8670,8730,8600,8700,36449,-264,7807
20141208,8670,8750,8350,8570,91107,-10500,-2044
20141209,8410,8520,8230,8500,165527,10484,13629
20141210,8360,8530,8280,8390,123344,-22874,4774
20141211,8260,8420,8260,8400,42542,-2035,-436
20141212,8380,8400,8150,8250,68716,-1303,4605
20141215,8200,8340,8110,8200,46569,-10363,878
20141216,8160,8300,7980,8150,85857,-6380,-3890
20141217,8080,8150,7930,8090,75276,-6414,-7252
20141218,8100,8170,7550,7620,201436,-58553,5968
20141219,7690,7760,7500,7550,95111,-9430,7343
20141222,7590,7660,7500,7540,85064,-15894,-794
20141223,7620,7620,7530,7600,34446,-209,2500
20141224,7530,7680,7450,7660,71621,10000,-8399
20141226,7680,7680,7590,7590,24144,0,-1766
20141229,7600,7720,7590,7720,23162,0,3499
20141230,7730,7730,7500,7650,64362,-8905,-10499
