date,open,high,low,close,volume
2015-01-02,72.7,73.2,71.89,72.34,2356405
2015-01-05,72.21,72.43,71.57,71.98,2405286
2015-01-06,71.95,72.1,69.88,70.53,2895356
2015-01-07,70.77,71.29,70.42,71.11,2378276
2015-01-08,71.4,73.06,71.31,72.92,2624237
2015-01-09,72.89,73.13,71.63,71.84,1730255
2015-01-12,72.13,72.26,70.75,71.12,1337867
2015-01-13,71.95,72.96,69.95,70.59,2103821
2015-01-14,69.88,70.4,68.98,69.99,1927063
2015-01-15,71.71,71.75,70.16,70.29,2839158
2015-01-16,70.03,71.85,70.03,71.73,2375295
2015-01-20,71.79,71.99,70.58,71.49,1612038
2015-01-21,71.16,71.89,70.37,71.54,1787889
2015-01-22,71.9,73.65,70.9,73.48,2178508
2015-01-23,73.44,74.4,73.06,74.06,1851700
2015-01-26,72.61,73.15,71.68,72.74,3593663
2015-01-27,71.71,72.36,71.06,71.46,1798640
2015-01-28,71.54,71.84,70.07,70.25,2281065
2015-01-29,70.03,71.82,69.78,71.64,2538051
2015-01-30,71.32,71.67,70.06,70.13,2331834
2015-02-02,70.44,71.2,69.04,71.11,2381935
2015-02-03,71.54,71.97,71.0,71.92,1555876
2015-02-04,71.79,72.62,71.78,72.28,2165414
2015-02-05,72.47,73.18,72.32,73.1,1438782
2015-02-06,73.18,73.62,72.24,72.54,1367371
2015-02-09,72.09,72.98,72.04,72.33,1628899
2015-02-10,72.94,73.19,72.11,72.76,1696213
2015-02-11,72.78,73.14,72.35,73.01,1600855
2015-02-12,73.6,74.76,73.31,74.59,2243474
2015-02-13,74.98,76.62,74.77,76.51,3819312
2015-02-17,76.67,77.22,76.31,77.13,1986617
2015-02-18,77.02,78.0,76.8,77.73,1683362
2015-02-19,77.42,77.94,77.2,77.73,1556077
2015-02-20,77.76,78.56,77.2,78.55,1626881
2015-02-23,78.65,78.69,77.79,78.1,1455823
2015-02-24,78.03,78.03,77.08,77.68,1954329
2015-02-25,77.76,78.44,77.48,78.07,1256415
2015-02-26,78.32,79.07,78.02,78.96,1545990
2015-02-27,79.24,80.3,78.93,79.1,3115789
2015-03-02,79.14,79.79,78.72,79.79,1497669
2015-03-03,79.63,79.99,78.97,78.99,1617017
2015-03-04,78.71,78.74,77.13,77.63,2393581
2015-03-05,77.6,78.71,77.3,78.62,1850110
2015-03-06,78.19,78.5,77.05,77.55,2537112
2015-03-09,77.76,78.24,77.43,77.93,2010928
2015-03-10,77.25,77.29,75.99,76.0,2622028
2015-03-11,75.91,76.78,75.68,76.01,1692240
2015-03-12,76.14,77.44,75.97,77.4,1683176
2015-03-13,77.18,78.06,76.62,77.62,2202818
2015-03-16,78.21,78.59,77.8,78.33,1851377
2015-03-17,78.22,79.87,78.18,79.66,5718989
2015-03-18,75.5,78.32,74.75,76.89,10509371
2015-03-19,76.48,77.38,75.29,77.14,3519153
2015-03-20,77.67,77.96,76.81,77.36,3577649
2015-03-23,77.11,77.3,76.34,76.35,1754089
2015-03-24,76.11,76.42,75.38,75.45,2782843
2015-03-25,75.5,75.59,73.12,73.13,3444655
2015-03-26,72.43,73.36,72.12,72.97,2965546
2015-03-27,72.72,73.46,72.56,73.31,2085213
2015-03-30,73.51,73.86,73.1,73.6,1880790
2015-03-31,73.11,74.6,72.94,73.94,2555952
2015-04-01,73.61,75.1,73.03,75.07,3976036
2015-04-02,75.17,76.17,74.61,75.68,2158435
2015-04-06,75.13,76.65,74.75,76.23,2556459
2015-04-07,76.07,76.68,75.62,75.65,2601250
2015-04-08,75.68,76.35,75.12,75.44,1938515
2015-04-09,75.62,76.35,75.21,76.33,1556186
2015-04-10,76.3,76.63,76.0,76.53,1801204
2015-04-13,76.44,77.0,75.89,76.02,1230003
2015-04-14,76.02,76.6,75.59,75.95,1924755
2015-04-15,76.09,76.5,75.9,76.03,1355474
2015-04-16,75.41,75.69,75.1,75.15,2069782
2015-04-17,74.38,74.55,72.78,73.15,3856527
2015-04-20,73.42,74.3,73.42,73.92,1688291
2015-04-21,74.31,74.88,74.21,74.62,1894585
2015-04-22,74.68,75.52,74.63,75.5,1523834
2015-04-23,75.08,76.8,75.0,76.52,1714116
2015-04-24,76.41,77.21,75.84,76.54,1831099
2015-04-27,76.84,77.29,76.36,76.55,1653200
2015-04-28,76.34,77.09,75.87,76.02,1698227
2015-04-29,75.61,77.26,75.46,76.65,2423865
2015-04-30,76.4,77.24,75.31,76.06,2109174
2015-05-01,76.29,76.67,75.66,76.43,1745421
2015-05-04,76.43,76.99,75.82,75.85,1655632
2015-05-05,75.35,75.63,74.75,75.0,2052192
2015-05-06,75.08,75.47,73.96,74.48,1997335
2015-05-07,74.4,74.84,74.17,74.73,2010135
2015-05-08,75.28,76.52,75.05,76.31,1585632
2015-05-11,76.32,77.34,76.07,76.78,2140410
2015-05-12,76.26,76.9,75.3,76.57,2082578
2015-05-13,76.6,77.48,76.53,77.08,1830543
2015-05-14,77.64,79.81,77.1,79.43,3068066
2015-05-15,80.0,80.0,78.62,78.92,2676185
2015-05-18,78.69,79.52,78.4,79.41,1436008
2015-05-19,79.75,79.93,79.37,79.62,2065598
2015-05-20,79.57,79.9,78.91,79.61,2639039
2015-05-21,79.54,80.74,79.19,80.56,2761464
2015-05-22,80.34,80.7,79.97,80.04,1825194
2015-05-26,79.91,80.12,78.84,79.36,2080761
2015-05-27,79.55,80.32,79.27,80.16,1671821
2015-05-28,80.17,80.42,79.74,80.02,1248364
2015-05-29,79.89,79.99,78.94,79.09,3288029
2015-06-01,79.5,80.0,78.59,79.87,2288815
2015-06-02,79.7,80.22,79.35,79.82,1533956
2015-06-03,79.93,80.34,79.44,80.13,1972025
2015-06-04,79.86,80.38,78.64,78.75,1659256
2015-06-05,78.64,79.39,78.38,78.86,1325884
2015-06-08,78.9,79.18,77.9,78.16,1621644
2015-06-09,77.88,78.05,76.95,77.9,2100935
2015-06-10,78.18,79.7,77.99,79.56,1775952
2015-06-11,79.81,80.29,79.42,79.65,1918251
2015-06-12,79.33,80.26,79.06,79.86,1794851
2015-06-15,79.17,79.25,78.35,78.9,2459672
2015-06-16,78.93,80.43,78.83,79.94,3579416
2015-06-17,79.5,80.0,77.74,77.91,6464247
2015-06-18,77.82,79.94,77.82,79.39,3858561
2015-06-19,79.41,79.94,79.06,79.7,3155595
2015-06-22,80.0,82.66,79.85,82.28,5829955
2015-06-23,82.17,83.77,82.1,83.55,4944995
2015-06-24,83.22,84.36,82.97,83.4,4311199
2015-06-25,83.82,84.27,83.49,83.94,3052904
2015-06-26,84.22,84.22,82.26,82.74,5914717
2015-06-29,81.22,82.06,81.15,81.28,4060269
2015-06-30,82.19,82.34,80.95,81.01,4086360
2015-07-01,81.57,81.92,80.71,80.94,2944498
2015-07-02,81.19,81.29,80.38,80.75,2200892
2015-07-06,80.02,81.19,80.0,80.5,2590913
2015-07-07,80.77,81.0,78.94,80.59,2781935
2015-07-08,79.95,80.52,79.4,79.99,4157628
2015-07-09,80.74,81.67,80.41,80.47,3068877
2015-07-10,81.5,81.5,80.47,80.59,3025163
2015-07-13,81.09,81.66,80.82,81.44,4597216
2015-07-14,81.67,82.35,81.24,81.89,4428123
2015-07-15,82.2,82.32,81.71,82.12,3214918
2015-07-16,82.65,82.67,82.2,82.52,2058116
2015-07-17,82.17,82.73,81.48,82.1,2402732
2015-07-20,82.0,82.18,81.45,82.09,1995809
2015-07-21,81.8,82.1,81.01,81.19,3916364
2015-07-22,81.38,81.75,80.65,80.73,2601230
2015-07-23,80.8,81.4,80.48,80.64,2579457
2015-07-24,81.0,81.36,80.54,80.98,3575251
2015-07-27,80.53,80.7,79.73,79.93,2762686
2015-07-28,80.07,80.65,79.13,80.59,2681012
2015-07-29,80.07,80.54,79.56,80.25,2178014
2015-07-30,79.9,81.8,79.2,81.29,2072732
2015-07-31,81.8,82.82,81.37,81.99,2893613
2015-08-03,82.18,82.26,80.7,81.4,2073985
2015-08-04,81.43,82.18,81.17,82.06,1375432
2015-08-05,82.78,84.12,82.17,83.38,1773755
2015-08-06,83.47,83.63,82.07,82.19,2272316
2015-08-07,81.87,82.92,81.48,82.69,1990308
2015-08-10,83.39,83.92,83.19,83.62,1999640
2015-08-11,84.06,84.86,83.05,83.9,3103220
2015-08-12,83.16,84.14,82.08,83.82,2218544
2015-08-13,83.82,84.83,83.0,84.31,1963567
2015-08-14,83.96,86.38,83.96,86.12,2610165
2015-08-17,86.0,86.78,84.9,86.77,1788317
2015-08-18,86.98,87.25,86.03,86.45,1468312
2015-08-19,86.12,86.47,85.21,85.48,2461363
2015-08-20,84.66,84.9,82.69,82.69,3062571
2015-08-21,81.94,82.16,78.87,78.87,6759167
2015-08-24,75.0,77.82,71.33,74.27,6758601
2015-08-25,77.02,78.33,74.47,74.57,7436184
2015-08-26,76.14,77.61,74.56,77.33,4221374
2015-08-27,78.41,79.28,77.39,78.91,5181685
2015-08-28,78.42,79.45,77.75,79.4,3310755
2015-08-31,79.38,79.7,78.3,78.57,2294331
2015-09-01,77.07,77.82,75.63,75.99,3167007
2015-09-02,77.0,77.33,75.54,77.25,3528672
2015-09-03,77.6,79.55,77.36,78.32,3458182
2015-09-04,76.99,78.27,76.39,76.89,2306315
2015-09-08,78.64,79.91,78.13,79.78,2655045
2015-09-09,80.79,81.51,78.23,78.52,2448588
2015-09-10,78.63,78.97,78.01,78.7,3541000
2015-09-11,78.44,79.23,77.94,79.19,2913733
2015-09-14,79.35,79.41,78.28,78.46,2545884
2015-09-15,78.61,80.12,78.3,79.53,3436283
2015-09-16,79.51,80.67,79.32,80.53,2501571
2015-09-17,80.45,81.88,79.7,80.31,4717581
2015-09-18,78.54,84.95,78.16,81.25,16424002
2015-09-21,81.42,83.69,81.42,83.32,4906763
2015-09-22,81.98,84.83,81.77,84.66,6336486
2015-09-23,84.92,85.98,84.05,85.5,4007659
2015-09-24,85.07,85.37,83.36,83.91,4463720
2015-09-25,84.71,84.72,82.58,83.13,3736860
2015-09-28,82.88,83.0,80.03,80.52,3435652
2015-09-29,80.52,80.58,79.09,79.83,3126333
2015-09-30,80.88,82.37,80.38,82.22,3653750
2015-10-01,82.42,83.77,81.57,83.75,3407757
2015-10-02,82.21,84.01,81.29,83.99,3402556
2015-10-05,84.8,86.31,84.49,85.84,4204821
2015-10-06,85.6,86.0,84.84,85.15,3662920
2015-10-07,82.2,83.1,79.02,80.65,14474830
2015-10-08,80.45,82.48,80.2,82.26,4596042
2015-10-09,82.41,83.9,81.99,83.82,3774304
2015-10-12,83.66,84.84,83.23,83.92,2707166
2015-10-13,83.32,84.64,83.31,83.65,1992787
2015-10-14,84.0,84.73,83.4,83.8,2391210
2015-10-15,84.19,86.86,84.09,86.77,4381865
2015-10-16,87.17,89.04,86.18,88.67,5332073
2015-10-19,88.15,88.49,87.03,88.4,3353922
2015-10-20,88.15,88.65,86.42,86.84,2694218
2015-10-21,87.22,87.57,85.87,86.13,2901500
2015-10-22,86.56,88.83,86.56,88.46,3547138
2015-10-23,89.0,89.44,87.44,87.86,6744138
2015-10-26,87.91,89.7,87.61,88.84,2375718
2015-10-27,88.65,88.85,87.81,88.05,2593605
2015-10-28,88.44,88.83,87.58,88.5,3206706
2015-10-29,88.26,88.5,87.51,88.12,1623429
2015-10-30,87.99,89.49,87.9,88.66,2131604
2015-11-02,89.03,90.54,88.47,89.91,2904654
2015-11-03,89.59,90.74,88.92,90.36,2102228
2015-11-04,90.34,91.34,90.21,91.01,1873683
2015-11-05,91.5,91.87,89.79,90.55,1836270
2015-11-06,90.07,90.79,88.97,90.69,2004247
2015-11-09,90.24,90.49,88.99,89.8,1705162
2015-11-10,89.56,90.31,88.99,90.28,1943618
