date,open,high,low,close,volume
2015-01-02,45.02,45.19,43.97,44.33,15070165
2015-01-05,44.16,44.25,43.58,43.59,18375801
2015-01-06,44.06,44.18,42.99,43.14,19229461
2015-01-07,43.33,43.52,43.01,43.15,13502164
2015-01-08,43.63,43.94,43.38,43.41,17516877
2015-01-09,43.98,44.1,43.26,43.39,15957540
2015-01-12,43.26,43.77,42.86,43.27,16055720
2015-01-13,43.67,43.95,42.57,42.93,12878161
2015-01-14,42.46,43.17,42.46,43.06,12707442
2015-01-15,43.48,43.64,42.57,42.63,13431005
2015-01-16,42.49,43.62,42.25,43.51,17786705
2015-01-20,43.56,44.03,43.23,43.9,16308441
2015-01-21,43.69,43.93,43.21,43.49,15876559
2015-01-22,43.95,45.33,43.18,44.05,17969124
2015-01-23,43.98,44.54,43.92,44.19,14150264
2015-01-26,44.17,44.21,43.54,43.9,12059503
2015-01-27,43.01,43.87,42.58,43.4,14984938
2015-01-28,43.94,43.98,42.67,42.69,15132525
2015-01-29,42.82,43.02,42.32,42.86,12805069
2015-01-30,42.09,42.52,41.82,41.89,22590037
2015-02-02,42.21,42.71,41.56,42.68,16889510
2015-02-03,42.94,43.14,42.54,43.04,12657079
2015-02-04,42.97,43.16,42.32,42.42,12912026
2015-02-05,42.5,43.24,42.5,43.16,9630270
2015-02-06,43.26,43.47,42.88,42.98,9522111
2015-02-09,42.63,43.63,42.63,43.4,12705939
2015-02-10,43.79,44.06,43.56,43.99,12714760
2015-02-11,43.96,44.0,43.08,43.36,12836944
2015-02-12,43.48,44.06,43.41,43.89,12519731
2015-02-13,43.8,44.23,43.8,43.93,10155871
2015-02-17,43.67,43.9,43.54,43.84,10119007
2015-02-18,43.71,44.11,43.65,44.1,8661050
2015-02-19,44.13,44.37,44.0,44.11,8465711
2015-02-20,44.06,44.09,43.46,43.77,14731155
2015-02-23,43.46,43.88,43.3,43.78,10995463
2015-02-24,43.79,43.96,43.38,43.88,10522544
2015-02-25,43.83,44.09,43.38,43.73,11785439
2015-02-26,43.8,44.15,43.71,43.89,8519272
2015-02-27,43.77,44.11,43.68,43.82,9549531
2015-03-02,43.81,44.04,43.48,44.03,11091035
2015-03-03,43.83,43.88,43.17,43.38,10058739
2015-03-04,43.2,43.66,42.82,43.61,14697648
2015-03-05,43.66,43.89,43.26,43.8,10983546
2015-03-06,43.61,43.61,42.3,42.38,15086633
2015-03-09,42.25,42.79,42.19,42.69,11474174
2015-03-10,42.24,42.55,41.78,41.82,13960716
2015-03-11,41.93,42.16,41.41,41.47,11108839
2015-03-12,41.46,41.76,41.26,41.62,13716747
2015-03-13,41.54,42.47,41.51,42.38,18405393
2015-03-16,42.82,43.53,42.74,43.41,17423196
2015-03-17,43.11,43.34,42.86,42.87,21508988
2015-03-18,44.3,44.94,43.35,44.13,37900346
2015-03-19,44.0,44.49,44.0,44.16,15729627
2015-03-20,44.13,44.73,44.06,44.41,20724698
2015-03-23,44.34,44.62,44.16,44.25,10749232
2015-03-24,44.33,44.5,43.71,43.71,14913405
2015-03-25,43.68,43.75,42.93,42.93,17490993
2015-03-26,42.78,43.23,42.46,42.99,14065618
2015-03-27,42.93,43.12,42.42,42.64,18030789
2015-03-30,43.23,43.63,43.12,43.44,12730145
2015-03-31,43.31,43.57,43.13,43.15,13264196
2015-04-01,42.99,43.12,42.72,42.94,12050921
2015-04-02,42.99,43.11,42.48,42.62,11183925
2015-04-06,42.28,43.1,42.21,42.96,9766515
2015-04-07,42.99,43.48,42.94,42.96,8075569
2015-04-08,42.85,43.34,42.85,43.11,6947138
2015-04-09,42.97,43.31,42.74,43.2,9399527
2015-04-10,43.08,43.89,43.08,43.51,12542826
2015-04-13,43.55,43.79,43.03,43.08,10943399
2015-04-14,43.04,43.06,42.51,42.73,10510451
2015-04-15,42.95,44.19,42.83,43.99,18188736
2015-04-16,43.69,43.96,43.25,43.46,11960843
2015-04-17,43.06,43.4,42.86,43.0,12473535
2015-04-20,43.31,43.81,43.25,43.32,10426440
2015-04-21,43.51,43.87,43.4,43.42,9312916
2015-04-22,43.51,43.75,43.34,43.55,7343916
2015-04-23,43.51,43.63,42.98,43.39,11310989
2015-04-24,43.41,43.58,42.75,43.08,17767086
2015-04-27,43.1,43.95,43.07,43.61,12916013
2015-04-28,43.71,44.58,43.45,44.5,18287732
2015-04-29,44.4,44.9,43.68,44.73,36608698
2015-04-30,44.05,44.41,43.5,43.62,20196267
2015-05-01,43.44,44.38,43.44,44.37,11941981
2015-05-04,44.55,44.85,44.24,44.59,9168246
2015-05-05,44.47,44.62,43.89,43.92,11410737
2015-05-06,44.2,44.24,43.0,43.26,12732068
2015-05-07,43.17,43.66,43.02,43.48,8787086
