date,open,high,low,close,volume
2015-01-02,36.23,36.74,35.54,36.56,12062461
2015-01-05,36.26,37.11,35.64,36.38,15062744
2015-01-06,36.27,39.45,36.04,38.76,33050812
2015-01-07,39.1,39.1,37.06,37.28,22675663
2015-01-08,37.42,39.19,37.09,39.09,19190436
2015-01-09,39.22,40.34,38.26,40.17,24738362
2015-01-12,40.28,40.95,39.3,39.37,27639025
2015-01-13,39.74,40.35,39.23,39.65,18395519
2015-01-14,38.89,40.18,38.8,39.85,16054746
2015-01-15,39.7,39.7,36.86,36.93,23042008
2015-01-16,37.18,38.13,36.85,37.31,14966077
2015-01-20,37.59,38.14,36.54,37.57,17641670
2015-01-21,37.65,38.27,37.33,37.83,12181324
2015-01-22,37.98,39.25,37.55,39.07,20451716
2015-01-23,39.48,39.97,38.78,39.42,16439238
2015-01-26,39.33,40.13,39.04,40.1,13838215
2015-01-27,39.56,39.61,38.38,38.92,15746411
2015-01-28,38.43,38.78,37.03,37.15,22367616
2015-01-29,37.39,37.57,36.07,36.68,20088464
2015-01-30,36.65,38.15,36.41,37.53,15390172
2015-02-02,37.7,38.07,36.92,37.46,13895869
2015-02-03,38.0,40.19,37.69,39.79,28395371
2015-02-04,40.05,40.83,39.82,40.72,23116779
2015-02-05,42.04,43.79,40.91,41.26,61997292
2015-02-06,46.12,48.5,45.8,48.01,102973023
2015-02-09,46.73,47.69,46.5,47.32,36177946
2015-02-10,47.35,47.39,45.57,46.26,32287813
2015-02-11,46.27,47.78,46.11,47.5,24747029
2015-02-12,47.98,48.45,46.88,47.95,23071572
2015-02-13,47.93,48.82,47.57,48.5,20809627
2015-02-17,48.2,49.09,47.89,48.03,16670155
2015-02-18,48.0,48.79,47.36,47.82,15503060
2015-02-19,47.84,48.94,47.42,48.7,18153446
2015-02-20,48.76,49.88,48.65,49.11,20755575
2015-02-23,49.02,49.24,48.35,48.47,12541405
2015-02-24,48.33,49.3,48.06,48.69,11073664
2015-02-25,48.8,49.18,48.25,48.55,11663183
2015-02-26,48.81,50.01,48.64,49.41,22340876
2015-02-27,49.19,49.9,47.96,48.08,15004478
2015-03-02,48.26,48.3,47.31,48.15,13430911
2015-03-03,48.13,48.8,47.44,47.71,16754427
2015-03-04,47.51,47.85,46.41,47.57,14290082
2015-03-05,47.59,48.43,47.2,47.35,13511889
2015-03-06,47.26,48.07,46.57,46.75,11534904
2015-03-09,47.22,48.08,47.13,47.59,13635901
2015-03-10,47.23,47.26,45.79,45.84,17289874
2015-03-11,45.66,46.74,45.13,46.27,12273750
2015-03-12,46.57,47.32,46.51,47.07,12204772
2015-03-13,46.94,47.72,46.45,46.66,13368059
2015-03-16,46.9,47.07,46.05,46.43,10243160
2015-03-17,46.66,47.29,46.44,46.93,13361311
2015-03-18,46.75,47.38,46.16,47.2,13115352
2015-03-19,46.96,48.15,46.45,47.93,15957089
2015-03-20,48.36,49.15,48.25,48.44,18676496
2015-03-23,48.24,49.25,47.87,48.46,16389818
2015-03-24,48.67,51.79,48.54,51.47,38181773
2015-03-25,51.5,51.87,49.31,49.5,31694649
2015-03-26,49.65,50.9,49.4,49.92,24385783
2015-03-27,50.35,50.89,49.94,50.01,14852364
2015-03-30,50.45,50.71,48.66,49.89,20365393
2015-03-31,49.62,51.24,49.54,50.08,23898381
2015-04-01,51.0,51.69,50.17,50.47,24299197
2015-04-02,50.64,50.95,49.88,50.42,13423909
2015-04-06,50.03,51.16,49.87,50.84,14539680
2015-04-07,51.01,53.28,50.86,52.87,37080755
2015-04-08,53.32,53.49,51.95,52.3,22368922
2015-04-09,52.15,52.99,51.54,52.17,17877667
2015-04-10,52.29,52.45,51.38,51.94,13271155
2015-04-13,51.99,52.29,51.45,51.62,12306515
2015-04-14,51.75,51.81,50.68,51.2,12231640
2015-04-15,51.33,51.87,50.91,51.3,13192067
2015-04-16,51.3,52.34,51.14,52.03,14313301
2015-04-17,51.71,52.16,50.19,50.66,16676896
2015-04-20,51.07,51.48,50.51,51.4,11004476
2015-04-21,51.68,51.85,51.1,51.32,8461283
2015-04-22,51.48,52.09,51.32,51.73,11479493
2015-04-23,51.87,52.2,51.22,51.41,11490400
2015-04-24,51.85,51.96,50.24,50.82,14896860
2015-04-27,50.84,52.54,50.82,51.66,23991902
2015-04-28,52.16,52.22,38.38,42.27,77336612
2015-04-29,40.21,41.09,38.07,38.49,120488557
2015-04-30,39.28,39.74,38.48,38.96,46651477
2015-05-01,39.19,39.24,37.37,37.84,37785543
2015-05-04,38.72,38.96,37.55,37.88,27622537
2015-05-05,38.0,38.61,37.36,37.42,22605023
2015-05-06,37.69,37.78,36.52,37.26,29107858
2015-05-07,37.24,37.88,36.95,37.71,21258764
2015-05-08,38.02,38.2,37.55,37.59,14395832
2015-05-11,37.58,37.86,37.2,37.31,12329491
2015-05-12,37.29,37.8,37.06,37.48,11792938
2015-05-13,37.66,38.2,37.53,37.72,14075331
2015-05-14,37.93,38.09,37.27,37.33,14259607
2015-05-15,37.36,37.8,37.0,37.1,16799060
2015-05-18,37.1,37.57,36.9,37.28,11237346
2015-05-19,37.14,37.88,36.9,37.5,26941996
2015-05-20,37.49,37.94,36.54,36.78,23404469
2015-05-21,36.81,36.94,36.39,36.68,17447682
2015-05-22,36.7,36.98,36.57,36.6,9861815
2015-05-26,36.67,36.83,36.37,36.51,13068502
2015-05-27,36.5,36.65,36.1,36.41,14463568
2015-05-28,36.49,37.33,36.37,36.83,17912105
2015-05-29,37.05,37.07,36.53,36.67,16849058
2015-06-01,36.69,36.83,36.43,36.63,10008279
2015-06-02,36.45,36.6,36.16,36.4,13128349
2015-06-03,36.51,37.17,36.48,37.0,14023524
2015-06-04,37.17,37.79,36.51,36.71,23762920
2015-06-05,36.79,37.23,36.65,37.0,11854282
2015-06-08,36.91,36.98,36.41,36.46,11767083
2015-06-09,36.5,36.5,35.56,35.88,14034468
2015-06-10,36.01,36.17,35.6,35.85,12634817
2015-06-11,35.92,36.17,35.79,35.84,20546962
2015-06-12,36.9,37.25,35.55,35.9,60914449
2015-06-15,35.24,35.26,34.31,34.67,32932110
2015-06-16,34.23,35.2,33.51,34.82,49856071
2015-06-17,34.99,35.12,34.17,34.69,27278532
2015-06-18,34.63,35.04,34.45,34.66,19447110
2015-06-19,34.97,36.28,34.85,35.86,33674913
2015-06-22,35.95,36.0,35.34,35.55,21456373
2015-06-23,35.78,36.2,34.96,35.37,25891418
2015-06-24,35.4,35.75,35.1,35.17,13020956
2015-06-25,35.36,35.36,34.96,35.17,10756756
2015-06-26,34.97,35.33,34.67,35.26,17387971
2015-06-29,34.47,35.09,34.15,34.21,25220715
2015-06-30,34.5,36.42,34.44,36.22,26095592
2015-07-01,36.05,36.11,35.24,35.4,23674620
2015-07-02,35.4,35.97,35.1,35.72,17663959
2015-07-06,35.17,35.69,35.0,35.43,11325391
2015-07-07,35.35,35.72,34.55,35.52,14203167
2015-07-08,35.41,36.05,34.67,34.76,15522331
2015-07-09,35.17,35.43,34.31,34.36,14099347
2015-07-10,34.68,35.12,34.46,34.91,10639720
2015-07-13,34.99,36.14,34.75,35.78,17118202
2015-07-14,35.78,38.82,35.77,36.72,50102513
2015-07-15,36.66,37.09,35.55,35.66,18296837
2015-07-16,35.89,36.45,35.75,36.1,11367681
2015-07-17,36.46,36.66,35.6,35.67,12838454
2015-07-20,35.75,35.99,35.2,35.81,9889748
2015-07-21,35.82,36.75,35.71,36.63,12536207
2015-07-22,36.23,36.37,35.51,36.09,11772251
2015-07-23,36.0,36.73,35.94,36.19,10407769
2015-07-24,36.41,36.41,35.3,35.42,13000824
2015-07-27,35.11,35.15,33.88,34.7,24629131
2015-07-28,34.7,36.67,34.14,36.54,57688647
2015-07-29,32.59,33.24,31.06,31.24,92939850
2015-07-30,31.1,31.83,31.05,31.47,29438817
2015-07-31,31.38,31.62,30.85,31.01,18150252
2015-08-03,30.85,31.09,28.69,29.27,46637134
2015-08-04,29.11,29.9,28.9,29.34,21900293
2015-08-05,29.41,29.5,28.43,28.48,21223283
2015-08-06,28.4,28.43,27.23,27.54,27612162
2015-08-07,27.8,27.9,26.87,27.04,18392551
2015-08-10,28.09,29.63,27.82,29.5,42547095
2015-08-11,29.01,29.89,28.53,29.62,27827588
2015-08-12,29.11,29.5,28.51,29.39,18582876
2015-08-13,29.6,29.6,28.44,28.54,15003972
2015-08-14,28.5,29.27,28.45,29.06,16716347
2015-08-17,29.19,29.34,28.93,29.06,9557303
2015-08-18,28.91,29.0,28.3,28.3,9662803
2015-08-19,28.06,28.09,27.16,27.61,19964006
2015-08-20,27.15,27.48,25.92,26.0,25065228
2015-08-21,25.65,26.74,25.51,25.87,23563519
2015-08-24,23.61,26.23,21.01,25.17,30024259
2015-08-25,26.29,26.33,24.38,24.38,19680627
2015-08-26,24.8,25.29,23.83,25.03,20434430
2015-08-27,25.44,26.8,25.24,26.46,22493044
2015-08-28,26.19,26.93,26.06,26.83,12426237
2015-08-31,27.64,28.49,27.35,27.79,30752013
2015-09-01,27.23,28.12,26.77,27.03,21163542
2015-09-02,27.47,27.82,26.87,27.82,14401990
2015-09-03,28.03,29.0,27.81,28.3,21349227
2015-09-04,27.95,28.55,27.8,28.15,13537888
2015-09-08,28.15,28.2,27.01,27.18,19225523
2015-09-09,27.17,27.85,26.42,27.18,19349852
2015-09-10,27.07,27.83,26.95,27.71,11195157
2015-09-11,27.63,27.65,27.17,27.39,8830114
2015-09-14,27.21,27.55,26.8,26.9,11564018
2015-09-15,27.04,27.55,27.0,27.17,10166742
2015-09-16,27.14,28.0,27.0,27.75,13237233
2015-09-17,27.54,27.93,27.03,27.41,12764449
2015-09-18,27.04,28.25,26.99,27.96,17505272
2015-09-21,27.98,28.09,27.19,27.38,10439089
2015-09-22,27.05,27.48,26.62,26.83,13461346
2015-09-23,26.97,27.28,26.58,26.79,10840010
2015-09-24,26.51,26.64,25.4,26.6,21349365
2015-09-25,26.84,26.91,25.14,25.29,14571966
2015-09-28,24.96,25.61,24.6,25.26,17452832
2015-09-29,25.23,25.76,24.92,25.59,13421641
2015-09-30,25.94,27.33,25.88,26.94,25464985
2015-10-01,26.47,26.84,24.65,24.68,30953542
2015-10-02,24.5,26.48,24.34,26.31,23542260
2015-10-05,26.99,28.25,26.33,28.15,31012912
2015-10-06,28.16,28.4,26.75,27.62,31216096
2015-10-07,28.35,29.95,28.01,29.83,34801029
2015-10-08,29.57,31.5,29.03,30.32,36431756
2015-10-09,30.9,31.41,30.28,30.85,27453628
2015-10-12,30.3,30.77,28.6,28.75,30619463
2015-10-13,29.55,30.68,28.84,29.06,45783154
2015-10-14,29.46,29.82,28.38,29.38,27554364
2015-10-15,29.46,30.28,29.01,29.71,15838856
2015-10-16,30.08,31.4,29.36,31.15,44564027
2015-10-19,31.15,31.6,30.57,30.91,23958109
2015-10-20,30.94,31.39,30.41,30.91,15824434
2015-10-21,29.5,29.66,28.65,29.3,30744722
2015-10-22,29.24,29.8,28.74,29.15,17424012
2015-10-23,29.97,30.72,29.61,30.28,19855746
2015-10-26,30.63,31.22,30.48,30.89,16787022
2015-10-27,31.02,31.87,30.65,31.34,44502942
2015-10-28,28.13,31.34,27.76,30.87,88974860
2015-10-29,30.58,30.7,28.93,29.06,33682799
2015-10-30,29.13,29.57,28.35,28.46,21933119
2015-11-02,28.54,29.29,28.05,29.2,18549712
2015-11-03,29.09,29.63,29.04,29.13,16706010
2015-11-04,29.36,30.15,29.23,29.36,18786980
2015-11-05,29.47,29.55,28.45,28.66,15525302
