Date,Open,High,Low,Close,Volume
2005-01-03,121.56,121.76,119.9,120.3,53923500
2005-01-04,120.46,120.53,118.44,118.73,65110000
2005-01-05,118.74,119.25,118.0,118.01,63001300
2005-01-06,118.48,119.15,118.26,118.61,46049600
2005-01-07,118.97,119.23,118.13,118.44,53134500
2005-01-10,118.34,119.46,118.34,119.0,55027400
2005-01-11,118.65,118.74,117.99,118.18,59703100
2005-01-12,118.39,118.84,117.34,118.57,69597900
2005-01-13,118.64,118.73,117.5,117.62,53385000
2005-01-14,117.97,118.53,117.76,118.24,39497700
2005-01-18,118.05,119.63,117.95,119.47,52832200
2005-01-19,119.42,119.52,118.21,118.22,50922300
2005-01-20,117.89,118.2,117.29,117.5,69582800
2005-01-21,117.79,118.0,116.65,116.78,61026900
2005-01-24,117.09,117.34,116.37,116.55,56921100
2005-01-25,116.91,117.47,116.72,116.88,65531300
2005-01-26,117.31,117.6,117.04,117.23,55169200
2005-01-27,117.19,117.75,116.98,117.43,52889700
2005-01-28,117.49,117.55,116.61,117.43,58695800
2005-01-31,117.97,118.25,117.71,118.16,49495600
2005-02-01,118.25,119.08,118.1,118.91,49426000
2005-02-02,119.06,119.59,118.9,119.27,51556800
2005-02-03,119.07,119.16,118.07,118.96,46752600
2005-02-04,119.0,120.43,118.98,120.23,46233000
2005-02-07,120.22,120.52,119.96,120.07,45504600
2005-02-08,120.17,120.65,120.07,120.21,38158700
2005-02-09,120.42,120.49,119.25,119.31,54167900
2005-02-10,119.66,120.02,119.26,119.74,44774200
2005-02-11,119.71,121.04,119.46,120.77,52029900
2005-02-14,120.69,120.86,120.48,120.68,29630300
2005-02-15,120.8,121.43,120.68,121.13,42476200
2005-02-16,120.93,121.46,120.67,121.19,48828900
2005-02-17,121.21,121.32,120.22,120.23,55880500
2005-02-18,120.17,120.47,119.9,120.4,45645800
2005-02-22,119.9,120.47,118.58,118.6,78416900
2005-02-23,118.97,119.57,118.62,119.45,65961600
2005-02-24,119.24,120.34,118.98,120.24,66681300
2005-02-25,120.27,121.67,120.18,121.43,57568000
2005-02-28,121.15,121.65,120.05,120.63,66116500
2005-03-01,120.78,121.52,120.78,121.23,45024600
2005-03-02,120.76,121.93,120.65,121.17,62527300
2005-03-03,121.66,121.9,120.7,121.22,60008800
2005-03-04,122.05,122.9,121.16,122.73,52257000
2005-03-07,122.66,123.25,122.59,122.79,42524300
2005-03-08,122.67,123.0,122.11,122.33,44268400
2005-03-09,121.96,122.29,120.96,120.97,71715000
2005-03-10,121.21,126.27,120.4,121.24,61711100
2005-03-11,121.31,121.72,120.16,120.39,53127100
2005-03-14,120.61,121.14,120.28,121.14,35294700
2005-03-15,121.42,121.46,120.08,120.14,60534900
2005-03-16,119.7,120.16,118.9,119.12,74236600
2005-03-17,119.31,119.74,118.98,119.36,61886400
2005-03-18,119.11,119.16,118.15,118.54,56840200
2005-03-21,118.71,118.78,117.76,118.1,60308300
2005-03-22,118.34,118.93,116.52,116.9,84999700
2005-03-23,116.94,117.59,116.75,117.0,67175800
2005-03-24,117.46,117.99,117.06,117.14,50614600
2005-03-28,117.42,117.94,117.18,117.31,44626900
2005-03-29,117.14,117.9,116.25,116.53,70261900
2005-03-30,116.78,118.29,116.77,118.2,60120300
2005-03-31,118.19,118.46,117.87,117.96,62357500
2005-04-01,118.63,118.99,116.91,117.38,92220000
2005-04-04,117.36,117.86,116.74,117.63,69768800
2005-04-05,117.8,118.38,117.11,118.17,46032100
2005-04-06,118.45,118.95,118.18,118.6,49637300
2005-04-07,118.41,119.27,118.32,119.24,45187900
2005-04-08,119.15,119.21,118.0,118.0,60885400
2005-04-11,118.29,118.42,117.83,118.09,40949700
2005-04-12,117.89,119.06,117.07,118.71,84685400
2005-04-13,118.56,118.8,117.13,117.3,64100600
2005-04-14,117.42,118.85,115.73,115.77,92711200
2005-04-15,115.76,116.18,114.06,114.15,26420200
2005-04-18,114.12,114.96,113.96,114.5,97916800
2005-04-19,115.1,115.59,114.83,115.41,61226500
2005-04-20,115.4,115.63,113.53,113.8,8076600
2005-04-21,114.79,116.21,114.38,116.01,81903900
2005-04-22,115.74,116.5,114.27,115.57,87937100
2005-04-25,115.86,116.5,115.72,116.33,50353800
2005-04-26,115.96,116.77,115.14,115.2,72053900
2005-04-27,114.86,116.07,114.44,115.65,81964800
2005-04-28,115.27,115.68,114.13,114.2,69530400
2005-04-29,115.07,115.86,113.97,115.75,539600
